影片中文名,评价人数
肖申克的救赎,2581699
霸王别姬,1917118
阿甘正传,1939779
泰坦尼克号,1901280
这个杀手不太冷,2095353
美丽人生,1191422
千与千寻,2019214
辛德勒的名单,993670
盗梦空间,1861319
忠犬八公的故事,1274745
星际穿越,1546127
楚门的世界,1468070
海上钢琴师,1512573
三傻大闹宝莱坞,1690780
机器人总动员,1192178
放牛班的春天,1176864
无间道,1187322
疯狂动物城,1697280
大话西游之大圣娶亲,1382225
熔炉,840817
教父,852232
当幸福来敲门,1369891
控方证人,444445
怦然心动,1640600
龙猫,1140107
触不可及,946989
末代皇帝,760174
寻梦环游记,1460913
蝙蝠侠：黑暗骑士,943211
活着,736311
哈利·波特与魔法石,1022888
指环王3：王者无敌,717581
乱世佳人,620041
素媛,606646
飞屋环游记,1191919
摔跤吧！爸爸,1416261
何以为家,925682
我不是药神,1890182
十二怒汉,424104
哈尔的移动城堡,899954
少年派的奇幻漂流,1228523
鬼子来了,554544
大话西游之月光宝盒,1101892
天空之城,741081
猫鼠游戏,860239
天堂电影院,619221
指环王2：双塔奇兵,669536
闻香识女人,777575
罗马假日,864819
钢琴家,531121
让子弹飞,1492927
指环王1：护戒使者,757482
海蒂和爷爷,469998
黑客帝国,754615
大闹天宫,378839
辩护人,535245
教父2,481435
死亡诗社,628021
狮子王,745507
绿皮书,1431212
搏击俱乐部,761292
饮食男女,543023
美丽心灵,686244
本杰明·巴顿奇事,882895
窃听风暴,503825
情书,957580
两杆大烟枪,539152
穿条纹睡衣的男孩,483280
西西里的美丽传说,875437
看不见的客人,1112894
拯救大兵瑞恩,580602
音乐之声,537099
飞越疯人院,501944
小鞋子,364958
阿凡达,1247566
哈利·波特与死亡圣器(下),725174
沉默的羔羊,782081
海豚湾,331878
致命魔术,769230
禁闭岛,860929
美国往事,369646
布达佩斯大饭店,812913
蝴蝶效应,837780
心灵捕手,633490
低俗小说,743933
春光乍泄,560953
摩登时代,264342
七宗罪,857719
喜剧之王,862380
致命ID,725274
杀人回忆,618662
被嫌弃的松子的一生,644459
加勒比海盗,771839
功夫,956931
哈利·波特与阿兹卡班的囚徒,611603
红辣椒,392593
超脱,483328
狩猎,339106
请以你的名字呼唤我,630283
剪刀手爱德华,956405
7号房的礼物,492417
勇敢的心,519650
断背山,644184
唐伯虎点秋香,954221
天使爱美丽,896238
第六感,495779
入殓师,583187
幽灵公主,473218
重庆森林,714231
爱在黎明破晓前,584598
哈利·波特与密室,637884
小森林 夏秋篇,380817
一一,326629
阳光灿烂的日子,552152
蝙蝠侠：黑暗骑士崛起,642122
菊次郎的夏天,524772
超能陆战队,904817
无人知晓,276429
完美的世界,270774
消失的爱人,824097
爱在日落黄昏时,481801
小森林 冬春篇,341011
倩女幽魂,658185
借东西的小人阿莉埃蒂,489427
甜蜜蜜,467501
侧耳倾听,411566
幸福终点站,499065
萤火之森,469297
驯龙高手,680628
时空恋旅人,566850
玛丽和马克思,390963
怪兽电力公司,591817
大鱼,514655
教父3,324028
告白,616947
一个叫欧维的男人决定去死,397974
傲慢与偏见,704683
神偷奶爸,859312
阳光姐妹淘,548394
玩具总动员3,455400
射雕英雄传之东成西就,573287
釜山行,1068030
恐怖直播,584437
寄生虫,1228583
被解救的姜戈,542776
未麻的部屋,274071
哪吒闹海,228179
血战钢锯岭,712260
头号玩家,1229234
哈利·波特与火焰杯,554572
我是山姆,293098
七武士,173355
新世界,347383
喜宴,310193
模仿游戏,562525
黑客帝国3：矩阵革命,403823
电锯惊魂,470589
花样年华,526239
卢旺达饭店,289777
三块广告牌,742652
头脑特工队,538071
你的名字。,1242331
疯狂原始人,763890
上帝之城,274222
达拉斯买家俱乐部,405324
谍影重重3,378982
风之谷,325724
英雄本色,472205
心迷宫,455344
纵横四海,372425
惊魂记,242586
九品芝麻官,574291
岁月神偷,533065
记忆碎片,547491
海街日记,389702
忠犬八公物语,172201
荒蛮故事,393712
绿里奇迹,282495
爱在午夜降临前,337184
爆裂鼓手,513471
贫民窟的百万富翁,679997
真爱至上,661005
小偷家族,742329
东邪西毒,524135
无敌破坏王,478093
色，戒,658685
疯狂的石头,728072
冰川时代,553916
黑天鹅,725749
你看起来好像很好吃,299638
恐怖游轮,742366
雨中曲,190813
雨人,366463
恋恋笔记本,595943
2001太空漫游,274654
魔女宅急便,408845
萤火虫之墓,374732
城市之光,125534
可可西里,267990
遗愿清单,383617
大佛普拉斯,386597
虎口脱险,223306
人工智能,396213
初恋这件小事,905264
牯岭街少年杀人事件,246670
源代码,754269
茶馆,95250
无间道2,400509
海边的曼彻斯特,444893
罗生门,278083
终结者2：审判日,308235
东京教父,180305
二十二,269638
奇迹男孩,506866
青蛇,466405
背靠背，脸对脸,98023
房间,341346
新龙门客栈,395724
小丑,897748
波西米亚狂想曲,530873
疯狂的麦克斯4：狂暴之路,470233
无耻混蛋,424851
魂断蓝桥,248593
血钻,335620
步履不停,245627
黑客帝国2：重装上阵,365386
千钧一发,251455
彗星来的那一夜,492469
战争之王,324314
崖上的波妞,422816
燃情岁月,260022
谍影重重2,317749
爱乐之城,769353
阿飞正传,450819
海洋,147286
谍影重重,381532
穿越时空的少女,347614
再次出发之纽约遇见你,384955
香水,498589
地球上的星星,185775
我爱你,148915
朗读者,420227
火星救援,635023
完美陌生人,482321
末路狂花,204049
千年女优,218713
聚焦,249922
驴得水,834504
小萝莉的猴神大叔,446000
心灵奇旅,830815
